1122,57,1006,49,1008,20,1124,28
868,73,868,46,991,46,991,73
1016,77,1016,50,1119,50,1119,77
1233,86,1146,80,1148,51,1235,57
995,100,868,100,868,86,995,86
1230,109,1155,104,1156,83,1232,89
1039,100,1039,89,1098,89,1098,100
900,108,900,97,963,97,963,108
395,135,284,135,284,105,395,105
675,135,496,135,496,105,675,105
963,128,900,128,900,109,963,109
539,147,539,136,586,136,586,147
496,167,496,152,587,152,587,167
500,183,499,165,590,161,591,179
1165,545,995,473,1008,444,1178,515
1130,566,1018,519,1030,490,1142,536
