15,191,-17,165,136,-18,169,8
245,55,226,42,267,-11,286,2
510,72,507,51,560,43,563,64
680,159,678,144,762,136,764,151
116,237,92,219,159,131,183,149
244,280,226,165,370,143,388,258
528,198,528,180,575,180,575,198
591,292,544,292,544,273,591,273
284,326,277,311,371,270,378,285
266,359,258,343,389,281,396,297
298,367,290,353,373,309,381,324
735,327,700,327,700,316,735,316
551,366,551,348,598,348,598,366
707,366,707,356,758,356,758,366
285,564,264,541,416,407,438,430
591,472,591,422,646,422,646,472
632,627,626,559,662,556,668,624
