490,123,281,91,296,0,505,32
818,160,487,112,499,34,830,82
12,92,10,64,162,51,164,79
17,113,15,88,146,77,148,102
1060,136,1058,122,1117,113,1120,128
1064,155,1061,137,1133,126,1136,145
992,157,990,143,1034,137,1036,151
1064,168,1062,151,1154,141,1156,158
996,167,996,156,1039,156,1039,167
996,199,994,186,1061,178,1063,191
996,212,995,197,1082,191,1084,206
996,230,994,213,1122,201,1123,218
996,237,996,226,1043,226,1043,237
1004,253,1004,238,1059,238,1059,253
1000,331,1000,309,1115,309,1115,331
1004,374,1004,352,1079,352,1079,374
