719,259,867,429,0,159,11,125,26,94,41,63,66,40,95,20,125,0,148,35,122,51,94,65,77,87,60,109,57,141,50,170
878,255,1061,400,0,1,47,0,85,13,119,30,147,56,169,91,183,136,141,145,132,109,116,83,94,65,70,49,43,36,5,39
751,438,792,475,0,7,5,5,11,4,17,3,23,2,29,1,35,0,41,32,35,32,29,33,23,34,17,35,11,36,6,37
995,406,1051,447,0,8,8,6,16,5,24,4,32,2,40,1,49,0,56,40,47,40,39,40,30,40,22,40,13,40,5,41
762,469,1048,579,19,22,60,46,100,66,139,66,177,59,214,36,250,0,286,20,244,76,199,102,152,110,103,106,52,90,0,56
584,34,800,209,3,130,57,144,100,140,134,124,165,103,186,68,187,3,215,0,216,77,190,117,156,145,116,165,68,175,0,155
540,0,638,135,0,135,3,108,9,82,20,59,31,36,47,16,72,0,98,3,81,22,64,41,49,61,32,80,35,108,35,135
295,40,516,127,17,20,50,48,81,58,111,56,140,46,168,29,195,0,221,16,187,49,153,70,117,82,80,87,41,79,0,46
245,200,298,339,20,139,7,115,1,91,0,68,7,45,19,22,27,0,53,13,40,31,32,50,27,68,29,87,33,107,47,127
338,255,480,372,142,16,125,42,107,67,88,90,59,99,35,116,0,117,2,84,27,78,53,73,72,60,89,43,104,24,115,0
