154,358,714,412,0,7,93,5,186,4,280,3,373,2,466,1,560,0,560,47,466,48,373,49,280,50,186,51,93,52,0,54
160,446,617,512,0,11,76,9,152,7,228,5,304,3,380,1,457,0,457,55,380,56,304,58,228,60,152,62,76,64,0,66
160,546,503,601,0,5,57,4,114,3,171,2,228,1,285,0,343,0,343,49,285,50,228,51,171,52,114,53,57,54,0,55
166,639,672,699,0,9,84,7,168,6,253,4,337,3,421,1,506,0,504,48,420,50,337,52,253,54,170,56,86,58,3,60
172,819,240,871,0,0,11,0,22,0,34,0,45,0,56,0,68,0,68,52,56,52,45,52,34,52,22,52,11,52,0,52
172,885,701,951,0,17,88,14,176,11,264,8,352,5,440,2,528,0,529,50,441,52,353,55,265,58,177,60,89,63,1,66
173,971,713,1037,0,19,90,15,180,12,270,9,360,6,450,3,540,0,540,47,450,50,361,53,271,56,182,59,92,62,3,66
180,1044,379,1103,0,8,33,6,66,5,99,4,132,2,165,1,199,0,199,51,165,52,132,53,99,55,66,56,33,57,0,59
134,176,736,304,0,46,100,18,200,6,301,0,401,6,501,22,602,49,590,128,493,91,396,79,300,73,203,80,107,92,11,128
168,739,714,809,2,9,92,7,183,6,273,4,364,3,454,1,545,0,546,62,455,63,364,64,273,66,182,67,91,68,0,70
