365,0,416,50,3,0,11,5,19,10,27,16,35,21,43,26,51,32,51,50,42,43,34,37,25,31,17,25,8,19,0,13
1385,490,1437,508,0,5,8,4,17,3,26,2,34,1,43,0,52,0,51,14,42,14,34,15,26,16,18,16,10,17,2,18
1384,513,1426,534,0,2,6,1,13,1,20,1,26,0,33,0,40,0,42,17,35,17,29,18,23,19,16,19,10,20,4,21
1388,532,1435,549,0,5,7,4,15,3,23,2,30,1,38,0,46,0,47,13,39,13,32,14,24,15,17,15,9,16,2,17
1390,545,1436,559,0,6,7,5,15,4,23,3,30,2,38,1,46,0,46,9,38,9,31,10,24,11,17,12,10,13,3,14
1386,556,1436,568,0,4,8,3,16,2,25,2,33,1,41,0,50,0,50,8,42,8,34,9,26,10,18,10,10,11,2,12
1362,666,1418,676,0,0,9,0,18,0,27,0,36,0,45,0,54,0,56,8,47,8,38,8,29,9,20,9,11,9,3,10
206,582,332,636,5,0,25,2,45,5,65,7,85,10,105,12,126,15,126,54,105,52,84,50,63,48,42,46,21,44,0,42
63,568,201,626,15,0,35,2,56,5,76,7,97,10,117,12,138,15,137,58,114,55,91,53,68,51,45,49,22,47,0,45
5,507,73,553,0,42,7,24,16,11,27,4,38,0,51,6,68,27,56,37,44,17,36,15,28,17,22,23,16,32,11,46
14,559,70,590,7,7,14,13,21,17,27,16,33,15,38,11,43,0,56,12,47,19,39,26,30,30,20,31,10,28,0,22
