187,550,462,732,0,65,41,54,83,43,125,32,167,21,209,10,251,0,275,125,236,134,197,144,158,153,119,163,80,172,41,182
166,672,527,883,0,96,56,80,112,64,168,48,224,32,280,16,337,0,361,140,308,151,256,163,203,175,151,187,98,199,46,211
277,202,470,301,0,49,28,40,57,32,86,24,114,16,143,8,172,0,193,75,164,79,135,83,106,87,77,91,48,95,19,99
314,916,449,1031,0,81,19,67,39,54,59,40,79,27,99,13,119,0,135,68,114,75,94,83,74,91,53,99,33,107,13,115
597,1225,1560,1877,0,395,131,335,280,307,411,245,521,143,635,47,774,0,963,265,793,281,639,330,498,411,356,489,217,574,75,652
823,1519,1379,1877,0,288,86,240,172,192,258,144,344,96,430,48,517,0,556,67,472,115,388,164,304,212,220,261,136,309,52,358
249,1057,599,1283,0,179,56,149,112,119,168,89,224,59,280,29,337,0,350,62,295,89,240,116,185,144,130,171,75,198,21,226
309,963,573,1173,0,169,43,140,86,112,129,84,172,56,215,28,259,0,264,62,224,86,184,111,145,136,105,160,65,185,26,210
405,1153,555,1275,0,70,25,58,50,46,75,35,100,23,125,11,150,0,109,78,93,85,77,92,62,100,46,107,30,114,15,122
1366,1763,1618,1864,2,39,43,32,85,26,127,19,168,13,210,6,252,0,236,94,196,95,157,96,118,97,78,98,39,99,0,101
1360,1854,1644,1958,0,13,47,10,94,8,142,6,189,4,236,2,284,0,263,104,219,98,175,93,131,88,87,83,43,78,0,73
1353,1940,1664,2025,0,0,51,2,103,5,155,7,207,10,259,12,311,15,293,85,246,82,200,80,154,78,107,76,61,74,15,72
825,1555,1496,1984,0,354,136,356,263,341,371,294,467,226,541,122,606,0,671,44,601,177,514,281,410,356,293,408,158,429,11,429
644,1142,1207,1586,0,242,81,200,179,193,270,172,353,133,413,50,491,0,563,185,486,237,416,302,338,351,253,387,158,405,75,444
371,23,501,109,0,57,18,47,36,38,54,28,72,19,90,9,109,0,130,57,120,61,110,66,100,71,90,76,80,81,70,86
514,51,649,124,0,65,22,54,45,43,67,32,90,21,112,10,135,0,135,65,123,66,112,67,101,69,89,70,78,71,67,73
